True (T) or No Data (C);Year;Solar Longitude;Sol;Wind Speed m/sec;Wind Direction;Pressure mb;Temp F;Temp C
T;1;119.893;4.98;1.2;63;7.73;-91.25;-68.47
T;1;119.912;5.02;1.6;83;7.73;-100.61;-73.67
T;1;119.931;5.06;1.9;77;7.73;-106.17;-76.76
T;1;119.951;5.1;2;84;7.73;-106.83;-77.13
T;1;119.97;5.14;4;72;7.73;-113.78;-80.99
T;1;119.989;5.18;3.1;73;7.73;-113.33;-80.74
T;1;120.008;5.22;5.7;99;7.73;-113.31;-80.73
T;1;120.028;5.26;7.7;119;7.73;-93.57;-69.76
T;1;120.047;5.3;7.1;133;7.73;-81.38;-62.99
T;1;120.066;5.34;5.4;146;7.73;-66.35;-54.64
T;1;120.085;5.38;4.4;154;7.73;-62.72;-52.62
T;1;120.104;5.42;3.8;158;7.73;-54.04;-47.8
T;1;120.124;5.46;3.2;167;7.73;-41.01;-40.56
T;1;120.143;5.5;2.3;188;7.73;-36.44;-38.02
T;1;120.162;5.54;2.3;131;7.73;-38.96;-39.42
T;1;120.182;5.58;3;117;7.73;-26.34;-32.41
T;1;120.201;5.62;3.4;282;7.73;-23.17;-30.65
T;1;120.22;5.66;2.5;324;7.69;-24.3;-31.28
T;1;120.239;5.7;2.8;47;7.64;-28.75;-33.75
T;1;120.259;5.74;2.2;13;7.64;-35.45;-37.47
T;1;120.278;5.78;1.5;8;7.69;-43.76;-42.09
T;1;120.297;5.82;1.2;39;7.73;-57.23;-49.57
T;1;120.316;5.86;1.4;39;7.73;-75.8;-59.89
T;1;120.336;5.9;1.4;58;7.73;-84.3;-64.61
T;1;120.355;5.94;1.3;67;7.73;-88.74;-67.08
T;1;120.374;5.98;1.5;48;7.73;-98.46;-72.48
T;1;120.393;6.02;2;60;7.73;-106.67;-77.04
T;1;120.413;6.06;1.3;67;7.73;-104.8;-76
T;1;120.432;6.1;1.8;71;7.73;-112.9;-80.5
T;1;120.451;6.14;3.3;81;7.73;-113.71;-80.95
T;1;120.47;6.18;3;78;7.73;-119.22;-84.01
T;1;120.49;6.22;2.2;59;7.73;-123.36;-86.31
T;1;120.509;6.26;3.1;84;7.73;-114.29;-81.27
T;1;120.528;6.3;5.6;129;7.73;-85.38;-65.21
T;1;120.547;6.34;4;152;7.73;-56.79;-49.33
T;1;120.567;6.38;3.8;151;7.73;-60.3;-51.28
T;1;120.586;6.42;3.1;156;7.73;-41.67;-40.93
T;1;120.605;6.46;4.3;231;7.73;-41.67;-40.93
T;1;120.625;6.5;6.6;233;7.7;-42.14;-41.19
T;1;120.644;6.54;2.3;225;7.7;-33.47;-36.37
T;1;120.663;6.58;2.8;313;7.73;-32.57;-35.87
T;1;120.682;6.62;2.9;329;7.67;-29.31;-34.06
T;1;120.702;6.66;2.1;20;7.64;-22.54;-30.3
T;1;120.721;6.7;2.2;30;7.73;-32.17;-35.65
T;1;120.74;6.74;3.1;27;7.75;-30.51;-34.73
T;1;120.759;6.78;2.3;10;7.73;-45.24;-42.91
T;1;120.779;6.82;1.6;43;7.73;-70.28;-56.82
T;1;120.798;6.86;1.6;52;7.73;-79.6;-62
T;1;120.817;6.9;1.5;45;7.73;-82.3;-63.5
T;1;120.837;6.94;1;53;7.73;-91.05;-68.36
T;1;120.856;6.98;1.1;68;7.73;-95.46;-70.81
T;1;120.875;7.02;1.5;74;7.73;-99.06;-72.81
T;1;120.895;7.06;1.6;72;7.73;-106.56;-76.98
T;1;120.914;7.1;1.5;67;7.73;-109.86;-78.81
T;1;120.933;7.14;2;78;7.73;-111.28;-79.6
