True (T) or No Data (C);Year;Solar Longitude;Sol;Wind Speed m/sec;Wind Direction;Pressure mb;Temp F;Temp C
T;1;265.17;254.42;1.4;198;10.11;-144.53;-98.07
T;1;265.196;254.46;5.1;215;10.02;-151.42;-101.9
T;1;265.222;254.5;6;218;9.97;-148.52;-100.29
T;1;265.248;254.54;6;224;9.94;-143.88;-97.71
T;1;265.274;254.58;5.5;219;9.94;-139.81;-95.45
T;1;265.3;254.62;5.4;211;9.86;-143.21;-97.34
T;1;265.326;254.66;3.2;227;9.8;-150.36;-101.31
T;1;265.352;254.7;1.9;219;9.76;-148.92;-100.51
T;1;265.378;254.74;1.2;201;9.74;-148.32;-100.18
T;1;265.404;254.78;2.1;201;9.76;-150.2;-101.22
T;1;265.43;254.82;2.9;205;9.76;-152.63;-102.57
T;1;265.456;254.86;3.6;214;9.76;-154.86;-103.81
T;1;265.482;254.9;4.1;198;9.67;-156.75;-104.86
T;1;265.508;254.94;4.9;197;9.65;-157.86;-105.48
T;1;265.533;254.98;7.7;211;9.58;-158.85;-106.03
T;1;265.559;255.02;9.1;211;9.58;-161.16;-107.31
T;1;265.585;255.06;11.2;226;9.58;-165.41;-109.67
T;1;265.611;255.1;9.5;209;9.58;-167.57;-110.87
T;1;265.637;255.14;7.1;228;9.65;-169.85;-112.14
T;1;265.663;255.18;4.6;231;9.67;-170.84;-112.69
T;1;265.689;255.22;4.5;223;9.67;-171.29;-112.94
T;1;265.715;255.26;5.3;223;9.76;-170.86;-112.7
T;1;265.741;255.3;5.2;229;9.82;-171.02;-112.79
T;1;265.767;255.34;4.5;230;9.87;-170.95;-112.75
T;1;265.793;255.38;7;245;9.91;-170.54;-112.52
T;1;265.819;255.42;8.8;244;9.85;-166.88;-110.49
T;1;265.845;255.46;9.4;238;9.85;-164.04;-108.91
T;1;265.871;255.5;10.3;239;9.85;-159.61;-106.45
T;1;265.897;255.54;10.8;234;9.85;-152.81;-102.67
T;1;265.923;255.58;11.2;233;9.85;-147.17;-99.54
T;1;265.948;255.62;12;235;9.76;-147.86;-99.92
T;1;265.974;255.66;11.4;233;9.76;-151.89;-102.16
T;1;266;255.7;10.5;232;9.76;-156.24;-104.58
T;1;266.026;255.74;7.6;241;9.76;-160.33;-106.85
T;1;266.052;255.78;4.8;236;9.82;-163.71;-108.73
T;1;266.078;255.82;4.7;231;9.85;-165.96;-109.98
T;1;266.104;255.86;2.4;220;9.85;-167.22;-110.68
T;1;266.13;255.9;2.6;236;9.85;-164.31;-109.06
T;1;266.156;255.94;3.8;218;9.85;-168.11;-111.17
T;1;266.182;255.98;3.8;216;9.85;-169.31;-111.84
T;1;266.208;256.02;4.6;217;9.85;-169.67;-112.04
T;1;266.234;256.06;4.3;236;9.85;-171.06;-112.81
T;1;266.26;256.1;3.1;234;9.85;-171.08;-112.82
T;1;266.285;256.14;2.3;238;9.91;-171.27;-112.93
T;1;266.312;256.18;2.1;211;9.94;-172.3;-113.5
T;1;266.337;256.22;2;216;9.94;-172.23;-113.46
T;1;266.363;256.26;2;223;10;-164.52;-109.18
T;1;266.389;256.3;2.8;222;10.08;-169.44;-111.91
T;1;266.415;256.34;3.5;225;10.11;-168.47;-111.37
T;1;266.441;256.38;3.8;228;10.11;-164.87;-109.37
T;1;266.467;256.42;4.8;220;10.11;-160.46;-106.92
T;1;266.493;256.46;6.3;220;10.07;-159.77;-106.54
T;1;266.519;256.5;6.2;220;10.02;-159.72;-106.51
T;1;266.545;256.54;5.7;232;10.02;-151.64;-102.02
T;1;266.571;256.58;5.9;225;10.02;-145.12;-98.4
T;1;266.597;256.62;6.8;232;10.02;-146.65;-99.25
T;1;266.623;256.66;8.1;231;9.89;-153.15;-102.86
T;1;266.648;256.7;7.8;234;9.85;-158.64;-105.91
T;1;266.674;256.74;5.8;234;9.89;-162.81;-108.23
T;1;266.7;256.78;4.1;225;9.94;-165.73;-109.85
T;1;266.726;256.82;1.6;203;10.02;-165.24;-109.58
T;1;266.752;256.86;1.1;203;10.02;-159.7;-106.5
T;1;266.778;256.9;2;225;9.97;-162.98;-108.32
T;1;266.804;256.94;3.3;223;9.94;-164.33;-109.07
T;1;266.83;256.98;4.6;216;9.94;-168.52;-111.4
T;1;266.856;257.02;4.3;216;9.94;-168.59;-111.44
T;1;266.882;257.06;3.6;231;9.94;-169.2;-111.78
T;1;266.908;257.1;3.6;231;9.94;-170.86;-112.7
T;1;266.934;257.14;1.7;229;9.94;-171.8;-113.22
T;1;266.959;257.18;1.3;217;10.02;-171.54;-113.08
T;1;266.985;257.22;2.2;217;10.02;-170.95;-112.75
T;1;267.011;257.26;2.3;228;10.08;-165.77;-109.87
T;1;267.037;257.3;3.4;225;10.11;-166.41;-110.23
T;1;267.063;257.34;3;220;10.11;-164.34;-109.08
T;1;267.089;257.38;4.7;223;10.11;-165.53;-109.74
T;1;267.115;257.42;4.5;212;10.11;-163.98;-108.88
T;1;267.141;257.46;5.8;209;10.05;-161.19;-107.33
T;1;267.167;257.5;6.8;216;10.02;-154.77;-103.76
T;1;267.193;257.54;7.5;215;10.02;-148.95;-100.53
T;1;267.219;257.58;6.4;215;9.95;-145.86;-98.81
T;1;267.244;257.62;7.2;213;9.94;-148.02;-100.01
T;1;267.27;257.66;6.9;217;9.85;-151.01;-101.67
T;1;267.296;257.7;4.1;228;9.85;-155.9;-104.39
T;1;267.322;257.74;1.1;217;9.85;-152.12;-102.29
T;1;267.348;257.78;1.3;214;9.85;-152.59;-102.55
T;1;267.374;257.82;1.6;215;9.85;-153.85;-103.25
T;1;267.4;257.86;3.2;212;9.91;-160.38;-106.88
T;1;267.426;257.9;3.9;225;9.94;-164.67;-109.26
T;1;267.452;257.94;4.3;222;9.94;-168.29;-111.27
T;1;267.478;257.98;4.7;228;9.85;-169.46;-111.92
T;1;267.504;258.02;6;229;9.85;-169.74;-112.08
T;1;267.529;258.06;4.9;225;9.85;-172.28;-113.49
T;1;267.555;258.1;4.1;232;9.94;-172.05;-113.36
T;1;267.581;258.14;3.2;222;9.94;-171.98;-113.32
T;1;267.607;258.18;2.5;235;9.94;-172.52;-113.62
T;1;267.633;258.22;1.7;231;10.02;-171.63;-113.13
T;1;267.659;258.26;1.3;225;10.02;-171.06;-112.81
T;1;267.685;258.3;2.2;221;10.11;-166.77;-110.43
T;1;267.711;258.34;1.8;229;10.2;-166.77;-110.43
T;1;267.737;258.38;3.2;217;10.2;-159.83;-106.57
T;1;267.762;258.42;3.2;211;10.14;-166.7;-110.39
T;1;267.788;258.46;2.6;219;10.11;-160.65;-107.03
T;1;267.814;258.5;2.7;222;10.11;-156.44;-104.69
T;1;267.84;258.54;2;216;10.11;-150.23;-101.24
T;1;267.866;258.58;2.1;227;10.08;-143.18;-97.32
T;1;267.892;258.62;2.8;231;10.02;-150.23;-101.24
T;1;267.918;258.66;2.9;229;9.98;-154.01;-103.34
T;1;267.944;258.7;2.3;225;9.94;-157;-105
T;1;267.97;258.74;2.4;219;9.94;-159.34;-106.3
T;1;267.995;258.78;3.6;220;9.94;-155.61;-104.23
T;1;268.021;258.82;4.2;210;9.94;-152.59;-102.55
T;1;268.047;258.86;3.5;210;9.94;-153;-102.78
T;1;268.073;258.9;5.3;196;9.94;-156.3;-104.61
T;1;268.099;258.94;5.8;203;9.85;-157.09;-105.05
T;1;268.125;258.98;7.3;213;9.85;-158.71;-105.95
T;1;268.151;259.02;5.9;218;9.85;-160.31;-106.84
T;1;268.177;259.06;9.1;224;9.78;-161.5;-107.5
T;1;268.203;259.1;7.5;212;9.82;-163.52;-108.62
T;1;268.228;259.14;4;218;9.85;-160.38;-106.88
T;1;268.254;259.18;6.2;209;9.85;-162.89;-108.27
T;1;268.28;259.22;6.7;216;9.85;-163.53;-108.63
T;1;268.306;259.26;8.6;210;9.85;-163.84;-108.8
T;1;268.332;259.3;7.5;217;9.91;-162.49;-108.05
T;1;268.358;259.34;8.4;211;10;-165.01;-109.45
T;1;268.384;259.38;8.8;211;9.97;-164.22;-109.01
T;1;268.41;259.42;8.2;225;9.94;-160.37;-106.87
T;1;268.435;259.46;11.8;216;9.87;-152.43;-102.46
T;1;268.461;259.5;11.5;230;9.85;-147.59;-99.77
T;1;268.487;259.54;10.7;239;9.82;-141.18;-96.21
T;1;268.513;259.58;11.4;241;9.76;-140.21;-95.67
T;1;268.539;259.62;11.4;250;9.76;-141.57;-96.43
T;1;268.565;259.66;11.4;242;9.67;-146.65;-99.25
T;1;268.591;259.7;8.4;240;9.67;-154.41;-103.56
T;1;268.616;259.74;6.4;241;9.74;-158.84;-106.02
T;1;268.642;259.78;2.7;242;9.76;-162.94;-108.3
T;1;268.668;259.82;2.3;225;9.82;-165.39;-109.66
T;1;268.694;259.86;1.9;215;9.85;-167.49;-110.83
T;1;268.72;259.9;2.8;229;9.85;-168.72;-111.51
T;1;268.746;259.94;3.5;229;9.8;-168.99;-111.66
T;1;268.772;259.98;4.7;234;9.76;-170.39;-112.44
T;1;268.798;260.02;4;236;9.76;-171.54;-113.08
T;1;268.824;260.06;3.1;238;9.76;-171.6;-113.11
T;1;268.85;260.1;2.7;247;9.76;-171.8;-113.22
T;1;268.875;260.14;2.5;229;9.85;-173.15;-113.97
T;1;268.901;260.18;2;236;9.85;-173.06;-113.92
T;1;268.927;260.22;1.9;212;9.88;-169.96;-112.2
T;1;268.953;260.26;2.1;214;9.96;-167.13;-110.63
T;1;268.979;260.3;1.8;216;10.02;-163.55;-108.64
T;1;269.005;260.34;1.8;223;10.11;-165.51;-109.73
T;1;269.031;260.38;2.6;217;10.11;-169.69;-112.05
T;1;269.056;260.42;3.3;234;10.05;-166.05;-110.03
T;1;269.082;260.46;3.7;231;10.02;-162.72;-108.18
T;1;269.108;260.5;2.9;225;10.02;-157.36;-105.2
T;1;269.134;260.54;4.1;223;10.02;-153.98;-103.32
T;1;269.16;260.58;5.7;227;10;-149.26;-100.7
T;1;269.186;260.62;6.7;223;9.94;-150.86;-101.59
T;1;269.211;260.66;7.5;231;9.94;-155.4;-104.11
T;1;269.237;260.7;7.3;225;9.94;-159.11;-106.17
T;1;269.263;260.74;6.2;200;9.96;-162.47;-108.04
T;1;269.289;260.78;4.8;223;10.02;-164.49;-109.16
T;1;269.315;260.82;2.6;202;10.02;-165.19;-109.55
T;1;269.341;260.86;1.7;207;10.02;-165.89;-109.94
T;1;269.367;260.9;1.1;232;9.97;-159.93;-106.63
T;1;269.393;260.94;1.5;222;9.94;-162.98;-108.32
T;1;269.418;260.98;1.3;218;9.94;-159.66;-106.48
T;1;269.444;261.02;1.4;203;9.94;-155.79;-104.33
T;1;269.47;261.06;1.4;230;9.94;-159.47;-106.37
T;1;269.496;261.1;1.7;234;9.91;-168;-111.11
T;1;269.522;261.14;2.2;229;9.94;-166.13;-110.07
T;1;269.548;261.18;2.7;222;9.97;-161.82;-107.68
T;1;269.573;261.22;2.3;208;10.02;-157.56;-105.31
T;1;269.599;261.26;1.9;214;10.02;-158.64;-105.91
T;1;269.625;261.3;2;207;10.05;-156.5;-104.72
T;1;269.651;261.34;2.9;222;10.11;-159.97;-106.65
T;1;269.677;261.38;2.6;218;10.11;-159.63;-106.46
T;1;269.703;261.42;2.8;222;10.02;-154.57;-103.65
T;1;269.728;261.46;3.2;219;9.98;-141.63;-96.46
T;1;269.754;261.5;2.7;215;9.94;-131.53;-90.85
T;1;269.78;261.54;2.1;216;9.94;-127.03;-88.35
T;1;269.806;261.58;2.4;202;9.91;-122.62;-85.9
T;1;269.832;261.62;3.7;211;9.85;-130.94;-90.52
T;1;269.858;261.66;3.4;214;9.78;-137.16;-93.98
T;1;269.884;261.7;1.2;198;9.76;-138.12;-94.51
T;1;269.909;261.74;1.7;207;9.76;-146.02;-98.9
T;1;269.935;261.78;1.9;216;9.76;-147.68;-99.82
T;1;269.961;261.82;3.3;198;9.73;-148.45;-100.25
T;1;269.987;261.86;5.3;201;9.69;-150;-101.11
T;1;270.013;261.9;5.2;196;9.67;-151.87;-102.15
T;1;270.039;261.94;5.8;205;9.67;-153.74;-103.19
T;1;270.065;261.98;9.5;211;9.67;-156.15;-104.53
T;1;270.09;262.02;11.7;208;9.58;-158.62;-105.9
T;1;270.116;262.06;11.4;211;9.58;-161.81;-107.67
T;1;270.142;262.1;8.8;207;9.58;-164.16;-108.98
T;1;270.168;262.14;6;201;9.63;-165.5;-109.72
T;1;270.194;262.18;5;213;9.67;-163.77;-108.76
T;1;270.22;262.22;7.1;208;9.67;-167.15;-110.64
T;1;270.245;262.26;6.6;197;9.71;-167.3;-110.72
T;1;270.271;262.3;6.4;198;9.79;-169.19;-111.77
T;1;270.297;262.34;6.3;205;9.85;-169.31;-111.84
T;1;270.323;262.38;5.2;221;9.85;-169.2;-111.78
T;1;270.349;262.42;6.5;234;9.76;-162.99;-108.33
T;1;270.375;262.46;7;233;9.82;-157.45;-105.25
T;1;270.4;262.5;8.1;236;9.82;-152.84;-102.69
T;1;270.426;262.54;8.5;231;9.76;-149.06;-100.59
T;1;270.452;262.58;10;226;9.76;-146.06;-98.92
T;1;270.478;262.62;9.6;232;9.76;-147.71;-99.84
T;1;270.504;262.66;9.9;234;9.69;-152.7;-102.61
T;1;270.53;262.7;9.4;241;9.67;-158.04;-105.58
T;1;270.555;262.74;8.1;234;9.65;-162.45;-108.03
T;1;270.581;262.78;6.2;225;9.7;-166;-110
T;1;270.607;262.82;3.1;225;9.82;-167.22;-110.68
T;1;270.633;262.86;1.6;212;9.85;-166.81;-110.45
T;1;270.659;262.9;2.2;225;9.85;-172.5;-113.61
T;1;270.684;262.94;3;238;9.85;-171.15;-112.86
T;1;270.71;262.98;3.8;222;9.76;-170.86;-112.7
T;1;270.736;263.02;2.1;237;9.76;-171.45;-113.03
T;1;270.762;263.06;2.4;228;9.76;-172.21;-113.45
T;1;270.788;263.1;2.6;231;9.7;-172.71;-113.73
T;1;270.814;263.14;1.7;219;9.71;-170.81;-112.67
T;1;270.839;263.18;1.1;225;9.85;-163.44;-108.58
T;1;270.865;263.22;1.2;231;9.85;-163.07;-108.37
T;1;270.891;263.26;1.1;221;9.89;-167.78;-110.99
T;1;270.917;263.3;1.1;216;10;-165.37;-109.65
T;1;270.943;263.34;1.7;214;10.05;-163.71;-108.73
T;1;270.968;263.38;3.1;219;10.05;-163.64;-108.69
T;1;270.994;263.42;4.2;225;10.02;-163.39;-108.55
T;1;271.02;263.46;6.1;227;9.89;-165.46;-109.7
T;1;271.046;263.5;7.3;225;9.85;-158.67;-105.93
T;1;271.072;263.54;7.2;219;9.85;-154.73;-103.74
T;1;271.097;263.58;7.6;229;9.91;-152.09;-102.27
T;1;271.123;263.62;7.8;230;9.85;-153.2;-102.89
T;1;271.149;263.66;8.3;234;9.85;-157.31;-105.17
T;1;271.175;263.7;7.3;248;9.76;-161.34;-107.41
T;1;271.201;263.74;4.6;231;9.85;-165.1;-109.5
T;1;271.227;263.78;3.3;221;9.85;-167.21;-110.67
T;1;271.252;263.82;2.1;204;9.85;-168.97;-111.65
T;1;271.278;263.86;1.1;210;9.87;-161.12;-107.29
T;1;271.304;263.9;3.1;215;9.85;-165.46;-109.7
T;1;271.33;263.94;2.4;220;9.85;-163.01;-108.34
T;1;271.356;263.98;5;215;9.85;-169.85;-112.14
T;1;271.381;264.02;4.7;217;9.76;-171.2;-112.89
T;1;271.407;264.06;2.1;225;9.76;-171.26;-112.92
T;1;271.433;264.1;2.2;216;9.79;-172.19;-113.44
T;1;271.459;264.14;1.3;222;9.85;-167.28;-110.71
T;1;271.485;264.18;1.2;229;9.85;-166.65;-110.36
T;1;271.51;264.22;1.3;202;9.85;-161.41;-107.45
T;1;271.536;264.26;2.4;210;9.89;-166.83;-110.46
T;1;271.562;264.3;1.8;225;9.97;-168.48;-111.38
T;1;271.588;264.34;1.3;210;10.07;-161.05;-107.25
T;1;271.613;264.38;2.7;229;10.02;-166.13;-110.07
T;1;271.639;264.42;2.3;225;10.02;-157.18;-105.1
T;1;271.665;264.46;1.9;196;9.94;-142.65;-97.03
T;1;271.691;264.5;2.6;205;9.94;-140.71;-95.95
T;1;271.717;264.54;1.8;215;9.94;-139.09;-95.05
T;1;271.742;264.58;1.7;222;9.94;-133.78;-92.1
T;1;271.768;264.62;3.1;233;9.94;-147.51;-99.73
T;1;271.794;264.66;3.5;222;9.89;-154.12;-103.4
T;1;271.82;264.7;3.5;229;9.85;-158.93;-106.07
T;1;271.846;264.74;2.6;225;9.85;-163.55;-108.64
T;1;271.872;264.78;2.4;211;9.85;-162.96;-108.31
T;1;271.897;264.82;2.5;222;9.85;-157.9;-105.5
T;1;271.923;264.86;4.3;218;9.85;-160.1;-106.72
T;1;271.949;264.9;2.9;202;9.82;-155.61;-104.23
T;1;271.975;264.94;3.2;204;9.8;-156.84;-104.91
T;1;272;264.98;3.7;207;9.76;-158.62;-105.9
T;1;272.026;265.02;2.2;207;9.76;-159.07;-106.15
T;1;272.052;265.06;3.1;217;9.78;-161.1;-107.28
T;1;272.078;265.1;3.8;222;9.76;-166.22;-110.12
T;1;272.104;265.14;3.4;228;9.76;-168.05;-111.14
T;1;272.129;265.18;2.5;229;9.76;-170.84;-112.69
T;1;272.155;265.22;1.7;242;9.85;-160.38;-106.88
T;1;272.181;265.26;1.7;205;9.87;-162.54;-108.08
T;1;272.207;265.3;1.4;201;9.94;-159.47;-106.37
T;1;272.233;265.34;2;207;10;-157.56;-105.31
T;1;272.258;265.38;2.9;225;10;-168.88;-111.6
T;1;272.284;265.42;3.9;218;9.94;-166.72;-110.4
T;1;272.31;265.46;4.1;225;9.91;-161.99;-107.77
T;1;272.336;265.5;8.9;216;9.88;-155.25;-104.03
T;1;272.361;265.54;9.4;240;9.89;-149.76;-100.98
T;1;272.387;265.58;10.8;242;9.85;-147.64;-99.8
T;1;272.413;265.62;9.9;242;9.85;-149.69;-100.94
T;1;272.439;265.66;8.9;219;9.87;-155.22;-104.01
T;1;272.465;265.7;9;211;9.88;-163.91;-108.84
T;1;272.49;265.74;5.8;213;9.85;-168.97;-111.65
T;1;272.516;265.78;2.6;219;9.85;-165.62;-109.79
T;1;272.542;265.82;1.2;219;9.91;-166.32;-110.18
T;1;272.568;265.86;1.1;233;10.02;-167.03;-110.57
T;1;272.593;265.9;1.1;239;9.94;-163.43;-108.57
T;1;272.619;265.94;1.7;243;9.91;-167.78;-110.99
T;1;272.645;265.98;2.4;241;9.85;-168.66;-111.48
T;1;272.671;266.02;1.8;215;9.85;-165.71;-109.84
T;1;272.696;266.06;1.7;209;9.85;-169.04;-111.69
T;1;272.722;266.1;2;225;9.85;-167.85;-111.03
T;1;272.748;266.14;2.1;225;9.85;-167.15;-110.64
T;1;272.774;266.18;2;217;9.85;-170.37;-112.43
T;1;272.799;266.22;1.8;235;9.85;-172.21;-113.45
T;1;272.825;266.26;2.5;209;9.91;-173.69;-114.27
T;1;272.851;266.3;2.3;211;10;-168.25;-111.25
T;1;272.877;266.34;3.1;218;10.11;-170.46;-112.48
T;1;272.903;266.38;2.9;219;10.14;-162.33;-107.96
T;1;272.928;266.42;2.1;207;9.97;-154.41;-103.56
T;1;272.954;266.46;3.2;211;9.94;-153;-102.78
T;1;272.98;266.5;5.6;222;9.94;-154.5;-103.61
T;1;273.006;266.54;5.8;212;9.94;-154.12;-103.4
T;1;273.031;266.58;5;220;9.87;-153.02;-102.79
T;1;273.057;266.62;5.5;233;9.85;-149.31;-100.73
T;1;273.083;266.66;4.3;229;9.82;-154.05;-103.36
T;1;273.108;266.7;1.8;238;9.76;-159.43;-106.35
T;1;273.134;266.74;1.7;225;9.67;-164.02;-108.9
T;1;273.16;266.78;2.3;252;9.79;-166.41;-110.23
T;1;273.186;266.82;5;230;9.91;-168.2;-111.22
T;1;273.212;266.86;6.5;225;9.94;-167.4;-110.78
T;1;273.237;266.9;7;225;9.85;-164.38;-109.1
T;1;273.263;266.94;5.6;200;9.74;-161.7;-107.61
T;1;273.289;266.98;4;198;9.73;-162.54;-108.08
T;1;273.315;267.02;4.7;205;9.76;-163.86;-108.81
T;1;273.34;267.06;7.9;224;9.67;-170.05;-112.25
T;1;273.366;267.1;8.1;205;9.61;-173.96;-114.42
T;1;273.392;267.14;6.6;205;9.6;-174.66;-114.81
T;1;273.417;267.18;5.2;232;9.61;-175.43;-115.24
T;1;273.443;267.22;3.1;246;9.7;-176.44;-115.8
T;1;273.469;267.26;1.7;233;9.8;-175.16;-115.09
T;1;273.495;267.3;1.3;232;9.94;-174.06;-114.48
T;1;273.521;267.34;2.1;225;9.98;-169.56;-111.98
T;1;273.546;267.38;5.4;225;9.88;-170.9;-112.72
T;1;273.572;267.42;8.9;216;9.85;-170.45;-112.47
T;1;273.598;267.46;9.2;219;9.78;-165.64;-109.8
T;1;273.623;267.5;9.1;239;9.85;-157.4;-105.22
T;1;273.649;267.54;9.7;224;9.85;-156.01;-104.45
T;1;273.675;267.58;9.3;227;9.94;-155.51;-104.17
T;1;273.701;267.62;9.6;236;9.94;-157.11;-105.06
T;1;273.727;267.66;9.8;236;9.94;-159.25;-106.25
T;1;273.752;267.7;9.7;231;9.88;-163.34;-108.52
T;1;273.778;267.74;7.3;223;9.85;-166.88;-110.49
T;1;273.804;267.78;4.6;214;9.94;-168.99;-111.66
T;1;273.829;267.82;2.5;229;10.05;-170.52;-112.51
T;1;273.855;267.86;1.4;246;10.05;-170.5;-112.5
T;1;273.881;267.9;1.8;230;10.02;-162.92;-108.29
T;1;273.907;267.94;2.6;240;9.91;-160.65;-107.03
T;1;273.932;267.98;2.6;246;9.85;-164.69;-109.27
T;1;273.958;268.02;1.4;238;9.85;-165.66;-109.81
T;1;273.984;268.06;1.3;229;9.76;-160.17;-106.76
T;1;274.009;268.1;1.3;210;9.76;-159.99;-106.66
T;1;274.035;268.14;1.3;207;9.76;-160.11;-106.73
T;1;274.061;268.18;2.6;236;9.85;-169.58;-111.99
T;1;274.087;268.22;2.6;234;9.94;-170.19;-112.33
T;1;274.112;268.26;4.1;238;10;-170.54;-112.52
T;1;274.138;268.3;3.7;236;10.05;-167.96;-111.09
T;1;274.164;268.34;5.2;234;10.18;-168.7;-111.5
T;1;274.19;268.38;4.1;231;10.11;-158.94;-106.08
T;1;274.215;268.42;3.9;207;10.05;-151.06;-101.7
T;1;274.241;268.46;5.3;211;9.91;-146.94;-99.41
T;1;274.267;268.5;8.6;218;9.85;-147.87;-99.93
T;1;274.292;268.54;7.8;211;9.85;-146.49;-99.16
T;1;274.318;268.58;8.4;230;9.85;-143.21;-97.34
T;1;274.344;268.62;9.5;236;9.79;-144.9;-98.28
T;1;274.37;268.66;6;237;9.85;-147.66;-99.81
T;1;274.395;268.7;1.4;220;9.85;-144.98;-98.32
T;1;274.421;268.74;2.2;209;9.87;-148.02;-100.01
T;1;274.447;268.78;3;219;9.94;-150.12;-101.18
T;1;274.473;268.82;4.6;200;9.91;-149.44;-100.8
T;1;274.498;268.86;4.6;203;9.74;-151.15;-101.75
T;1;274.524;268.9;3.5;210;9.73;-151.89;-102.16
T;1;274.55;268.94;4.9;209;9.78;-152.28;-102.38
T;1;274.575;268.98;5.2;203;9.76;-152.61;-102.56
T;1;274.601;269.02;6.6;203;9.67;-153.18;-102.88
T;1;274.627;269.06;5.2;198;9.58;-153.33;-102.96
T;1;274.652;269.1;3.4;202;9.58;-153.44;-103.02
T;1;274.678;269.14;2.2;205;9.58;-152.19;-102.33
T;1;274.704;269.18;1.3;222;9.58;-151.55;-101.97
T;1;274.73;269.22;1.4;207;9.58;-151.67;-102.04
T;1;274.755;269.26;2.5;202;9.58;-151.02;-101.68
T;1;274.781;269.3;4.3;208;9.71;-152.81;-102.67
T;1;274.807;269.34;4.2;197;9.91;-152.64;-102.58
T;1;274.832;269.38;8.8;212;9.76;-152.79;-102.66
T;1;274.858;269.42;8.1;215;9.58;-149.64;-100.91
T;1;274.884;269.46;11.3;220;9.54;-147.64;-99.8
T;1;274.909;269.5;12.1;222;9.58;-143.37;-97.43
T;1;274.935;269.54;12.4;233;9.6;-136.84;-93.8
T;1;274.961;269.58;12.6;233;9.58;-135.35;-92.97
T;1;274.986;269.62;14.9;236;9.49;-136.64;-93.69
T;1;275.012;269.66;12.3;243;9.41;-142.44;-96.91
T;1;275.038;269.7;7.9;221;9.41;-148.13;-100.07
T;1;275.064;269.74;6.9;231;9.47;-152.72;-102.62
T;1;275.089;269.78;5.4;234;9.49;-157.23;-105.13
T;1;275.115;269.82;4.1;244;9.52;-159.68;-106.49
T;1;275.141;269.86;4;236;9.49;-162.04;-107.8
T;1;275.166;269.9;3.8;225;9.41;-163.95;-108.86
T;1;275.192;269.94;4.1;220;9.34;-164.99;-109.44
T;1;275.218;269.98;3.1;228;9.32;-164.79;-109.33
T;1;275.243;270.02;3.9;235;9.32;-162.74;-108.19
T;1;275.269;270.06;3.6;225;9.32;-165.59;-109.77
T;1;275.295;270.1;6.3;235;9.32;-168.5;-111.39
T;1;275.321;270.14;7.8;246;9.32;-169.82;-112.12
T;1;275.346;270.18;8.7;230;9.41;-169.24;-111.8
T;1;275.372;270.22;10;230;9.37;-170.84;-112.69
T;1;275.398;270.26;7.7;229;9.55;-171.02;-112.79
T;1;275.423;270.3;1.6;225;9.63;-168.7;-111.5
T;1;275.449;270.34;2;207;9.85;-165.51;-109.73
T;1;275.475;270.38;5.9;225;9.79;-167.37;-110.76
T;1;275.5;270.42;10;240;9.7;-165.84;-109.91
T;1;275.526;270.46;14.6;244;9.63;-161.72;-107.62
T;1;275.552;270.5;14.8;233;9.67;-157.45;-105.25
T;1;275.577;270.54;15;230;9.71;-154.32;-103.51
T;1;275.603;270.58;14.1;229;9.64;-152.46;-102.48
T;1;275.629;270.62;13.5;223;9.58;-153.26;-102.92
T;1;275.654;270.66;11.5;228;9.63;-156.24;-104.58
T;1;275.68;270.7;9.8;224;9.73;-159.95;-106.64
T;1;275.706;270.74;7.7;219;9.67;-164.63;-109.24
T;1;275.731;270.78;5.5;211;9.67;-166.76;-110.42
T;1;275.757;270.82;3.5;216;9.67;-167.35;-110.75
T;1;275.783;270.86;1.9;240;9.65;-167.58;-110.88
T;1;275.808;270.9;1.5;229;9.58;-167.04;-110.58
T;1;275.834;270.94;1.2;236;9.58;-159.86;-106.59
T;1;275.86;270.98;2.1;242;9.57;-161.68;-107.6
T;1;275.885;271.02;1.1;229;9.58;-161.72;-107.62
T;1;275.911;271.06;1.5;253;9.63;-166.86;-110.48
T;1;275.937;271.1;1.4;241;9.67;-168.09;-111.16
T;1;275.962;271.14;1.4;225;9.65;-169.22;-111.79
T;1;275.988;271.18;1.5;246;9.58;-169.46;-111.92
T;1;276.014;271.22;1.7;239;9.64;-171.02;-112.79
T;1;276.039;271.26;1.5;230;9.76;-170.07;-112.26
T;1;276.065;271.3;2.4;221;10.02;-167.26;-110.7
T;1;276.091;271.34;3.5;198;10.09;-157.05;-105.03
T;1;276.116;271.38;7;203;10;-165.93;-109.96
T;1;276.142;271.42;7.5;214;9.91;-165.01;-109.45
T;1;276.168;271.46;10.3;241;9.82;-160.33;-106.85
T;1;276.193;271.5;12.2;224;9.85;-154.88;-103.82
T;1;276.219;271.54;13.7;247;9.8;-151.82;-102.12
T;1;276.245;271.58;14.9;228;9.61;-152.48;-102.49
T;1;276.27;271.62;10.9;229;9.7;-151.49;-101.94
T;1;276.296;271.66;7.8;237;9.8;-154.35;-103.53
T;1;276.322;271.7;6.1;225;9.79;-159.36;-106.31
T;1;276.347;271.74;5.9;213;9.76;-161.57;-107.54
T;1;276.373;271.78;4.2;213;9.73;-163.25;-108.47
T;1;276.399;271.82;2.3;229;9.67;-163.89;-108.83
T;1;276.424;271.86;1.7;216;9.63;-162.58;-108.1
T;1;276.45;271.9;1.5;218;9.58;-159.36;-106.31
T;1;276.476;271.94;1.2;219;9.58;-158.48;-105.82
