# Gothic word list, compiled by Dr. Moritz Heyne, published in 1896
# Herkunft: goth_heyne.txt (Dr. Moritz Heyne, 1896), ASCII
# bearbeitet mit Lotus WordPro 9.7, Text-Importeinstellung: Codepage 1252,
# Wagenrücklauf nach jedem Absatz
# 1. Durchgehen: 03/07.2007 .. 05/07.2007
# 2. Durchgehen inkl. Streichung falscher Wörter 06/07.2007 .. 08.07.2007
# An asterisk * denotes a reconstructed word which has not been testified.
*hrainiþa|Reinheit
*hraiw|Leiche
*hrisjan|schütteln, s. af-, us-hrisjan
*hruskan|prüfen? s. and-hruskan
*hugds|das Denken, in ga-hugds
*huleins|Hüllung
*hulon|höhlen
*hunslags|Opfer habend
*hus|(gen. husis), Haus
*hwairbs|wandelnd, sich fügend
*hwapjan|löschen, s. af-hwapjan
*hwapnan|erlöschen
*hwatjan|s. ga-hwatjan
*hwaþaruh|jeder von beiden
*hweilains|das Weilen, s. ga-hweilains
*hweitjan|weisz machen, s. ga-hweitjan
*ibnjan|ebenen
*jaina|s. ufar-jaina
*juka|Jochträger, in. ga-juka
*juko|vgl. ga-juko
*karja|Sorge habend
*kaureins|Belästigung, Last
*klahs|geboren? s. niu-klahs
*kroton|zermalmen, s. ga-kroton
*kumbjan|liegen, sich legen, s. ana-kumbjan
*kunds|gezeugt, stammend, s. airþa-, goda-, guma-, himina-, ufarhimina-, inna-, qina-kunds
*kunnains|Erkennen
*kunnan|(praet. kunnaida), Kenntnis haben, erkennen
*kuns|einem Geschlechte angehörend, in alja-, sama-kuns
*kunþjan|kündigen
*kunþs|s. ga-kunþs
*kusts|das Prüfen, s. ga-kusts
*lageins|Legung, in af-, ana-, faur-lageins
*laibjan|übrig lassen: in bi-laibjan
*laigon|lecken, s. bi-laigon
*laubeins|s. ga-laubeins
*laubs|vgl. ga-, filu-ga-, un-ga-laufs
*laugns|s. ana-laugns
*lauseins|Lösung, s. us-lauseins
*lauþs|grosz, gewachsen
*leds|s. unleþs
*leiban|bleiben, übrig bleiben, s. bi-leiban
*leikei|Gestalt, im Compos. ga-leiki
*leikeis|s. lekeis
*leikon|s. ga-, ga-ga-, in-ga-, þairh-ga-leikon
*leiks|gleich, ähnlich, s. ga-, hwi-, ibna-, liuba-, missa-, sama-, silda-leiks
*leis|kundig
*leisei|Erfahrung, Kunde
*leiþan|gehen, s. af-, bi-, ga-, hindar-, þairh-, ufar-, us-leiþan
*letnan|gelassen werden, in and-letnan
*lets|das Lassen, in den Comp. af-, fra-lets
*lif|in ain-, twa-lif
*lifnan|übrig bleiben, in dem Comp. af-lifnan
*linnan|weichen, s. af-linnan
*liug|s. ga-liug
*liusan|verlieren, s. fra-liusan
*lubo|Liebe
*lukan|schlieszen, s. ga-, us-lukan
*luknan|geöffnet werden, in ga-, us-luknan
*luks|Oeffnung, s. us-luks
*lusnan|verloren werden
*lusts|s. fra-lusts
*mahtjan|s. ana-mahtjan
*maids|veränderlich
*mainjan|in ga-mainjan, ga-ga-mainjan
*mains|gemein, s. gamains
*mait|s. bi-mait, un-bi-mait
*maitano|s. ga-maitano
*malsks|töricht, s. untila-malsks
*maltjan|auflösen s. ga-malteins
*malwjan|s. ga-malwjan
*mampjan|s. bi-mampjan
*maudei|Erinnerung, im Comp. ga-, ufar-maudei
*maurgjan|kürzen, s. ga-maurgjan
*maurþrja|Mörder
*maþleis|s. faura-maþleis
*maþli|s. faura-maþli
*meleins|Schreiben, Schrift, in des Comp. ga-, gilstra-, ufar-meleins
*meli|Schrift, in ufar-meli
*merei|Berufenheit, Ruf
*mernan|bekannt werden, in us-mernan
*mers|bekannt, berühmt, im Comp. waila-mers. Vgl. auch waja-merei, fem
*met|s. us-met
*mildeis|mild, s. friaþwa-, un-mildeis
*minds|s. ana-minds
*minþi|s. ga-minþi
*modei|Gesinnung
*motan|praet.-prs., Raum haben, können, s. ga-motan
*motjan|begegnen, s. ga-motjan, wiþra-ga-motjan
*muljan|im Compos. faur-muljan
*mundiþa|s. aina-mundiþa
*munds|s. ga-munds
*munnon|gedenken, im Comp. ufar-munnon
*nagljan|nageln
*naitjan|schmähen, lästern, s. ga-naitjan
*nanþjan|wagen, s. ana-, ga-nanþjan
*nauha|s. ga-nauha
*nauhan|praet.-prs., genügen, s. bi-, ga-nauhan
*nawistron|begraben, im Comp. ga-nawistron
*nem|die Nahme, Entgegennahme, in anda-nem
*nemeigs|gern, in anda-nemeigs
*nems|genehm, s. anda-nems
*nipnan|betrübt sein, trauern, s. ga-nipnan
*nisan|genesen, geheilt werden
*nists|Rettung, s. ga-nists
*niuhsjan|besuchen, untersuchen, s. bi-niuhsjan
*niujan|erneuern, im Comp. ana-niujan
*nohjan|nohnan, nohs, s ga-n
*numja|Nehmer, in arbi-numja
*numts|die Nahme, Nunft, in anda-numts
*nuts|nützlich, s. un-nuts
*paidon|kleiden
*pragjan|drängen, s. ana-praggan
*qairnus|Mühle, s. asilu-qairnus
*qeþs|sagbar, im Comp. un-qeþs
*qiss|Rede
*qistnan|verdorben werden, in fra-qistnan
*qiujan|lebendig machen
*qiunan|lebendig werden
*qiþrs|im Comp. laus-qiþrs
*qumþs|Kunft, in ga-qumþs
*raideins|s. ga-raideins
*raids|bestimmt, s. ga-raids
*raihtei|raihteins, in ga-r., un-ga-raihtei
*raihtiþa|s. ga-raihtiþa
*raihtjan|richten
*raips|Riemen, s. skauda-raips
*raisjan|erwecken, s. ur-raisjan
*rakjan|recken
*rannjan|rinnen lassen
*raubon|rauben, s. bi-raubon
*rauhtjan|zürnen, s. in-rauhtjan
*raþjan|zählen
*redaba|in ga-redaba
